run,freq_hz,temperature_C,G_storage_pa,G_loss_pa,G_abs_pa,tan_delta,force_dyn_N,strain_dyn_pct
tf_015p_high,10.0,31.956809999999997,3194898.605025381,645741.7046313683,3259502.9445443596,0.20211649396812026,1.5126603781971972,0.15073500000003917
tf_015p_high,13.895,31.976619999999997,3312790.6777218767,730929.0823747757,3392468.039328035,0.22063847477300239,1.580953978646404,0.1513657142857536
tf_015p_high,19.307,31.989779999999996,3424371.452039206,829424.5771946308,3523388.2798799784,0.2422122099811077,1.652224071890603,0.15231142857146815
tf_015p_high,26.827,31.99048,3537748.021810622,964643.9422437525,3666905.9165913346,0.2726717494566068,1.7229953919877483,0.15261892857146822
tf_015p_high,37.2759,31.978369999999998,3670985.4221213693,1103896.9125387096,3833369.5834004977,0.30070860698237134,1.7887575148809864,0.1515635714286108
tf_015p_high,51.7947,31.988239999999998,3804807.0912475837,1261534.9651802755,4008494.414363116,0.3315634498480243,1.8638246385933543,0.15102464285718212
tf_015p_high,71.9686,31.979279999999996,3840667.375376527,1448435.0620157083,4104715.582979906,0.3771310869829513,1.9385964425095534,0.15340107142861129
tf_015p_high,100.0,31.98999,4128425.1137527404,1803572.511070109,4505193.416774919,0.4368669556490176,2.248017446883628,0.16207285714289926
tf_015p_high,0.1,38.961569999999995,1830001.6611818832,325373.94794530276,1858702.3123485819,0.1777998101570925,0.869866978749806,0.15200821428575378
tf_015p_high,0.13895,38.97655,1918640.9849997999,325982.07354698796,1946136.5680740383,0.16990259047709333,0.7284759656408515,0.12158107142860301
tf_015p_high,0.19307,38.989850000000004,1970111.614602922,334302.81724353833,1998273.7919540203,0.16968724754760525,0.9395189144450381,0.15271250000003966
tf_015p_high,0.26827,38.99433,2033296.178373336,342041.53730786795,2061864.6323732173,0.16822022337223186,0.9712308292436762,0.15299821428575403
tf_015p_high,0.372759,39.0,2099122.876883219,349156.2605973075,2127963.0980279655,0.16633436014747996,0.9950846622257818,0.15188678571432518
tf_015p_high,0.517947,38.968289999999996,2169698.26107572,356149.00764075835,2198734.331327571,0.16414679129815146,1.0264793272848978,0.1516357142857537
tf_015p_high,0.719686,38.97165,2239125.0674628355,364170.56249423895,2268546.0688131987,0.16263967019353792,1.0634286544338334,0.15225964285718244
